label;LE_max;S_max
2652;0.000402608;84.4848
2653;0.000402498;84.475
2654;0.000402423;84.4716
2655;0.000402393;84.4762
2656;0.000402418;84.4905
2657;0.000402503;84.5156
2658;0.000402651;84.5518
2659;0.000402859;84.5984
2660;0.000403117;84.6543
2661;0.000402944;84.6182
2662;0.000402785;84.5849
2663;0.000402639;84.5537
2664;0.000402526;84.528
2665;0.000402456;84.5098
2666;0.000402431;84.4992
2667;0.000402445;84.4953
2668;0.000402492;84.4968
2669;0.000402564;84.5027
2670;0.000402654;84.5116
2671;0.000402755;84.5223
2672;0.000402858;84.5339
2673;0.000402958;84.5454
2674;0.000403049;84.5559
2675;0.000403125;84.5648
2676;0.000403182;84.5716
2677;0.000403218;84.5758
2678;0.00040323;84.5772
2679;0.000403218;84.5758
2680;0.000403182;84.5716
2681;0.000403125;84.5648
2682;0.000403049;84.5559
2683;0.000402958;84.5454
2684;0.000402858;84.5339
2685;0.000402755;84.5223
2686;0.000402654;84.5116
2687;0.000402564;84.5027
2688;0.000402492;84.4968
2689;0.000402445;84.4953
2690;0.000402431;84.4992
2691;0.000402456;84.5098
2692;0.000402526;84.528
2693;0.000402639;84.5537
2694;0.000402785;84.5849
2695;0.000402944;84.6182
2696;0.000402778;84.5836
2697;0.000402703;84.5699
2698;0.000402604;84.5515
2699;0.000402521;84.5353
2700;0.000402467;84.5241
2701;0.000402442;84.5175
2702;0.000402443;84.5149
2703;0.000402467;84.5155
2704;0.000402509;84.5187
2705;0.000402564;84.5235
2706;0.000402628;84.5294
2707;0.000402696;84.5358
2708;0.000402762;84.5422
2709;0.000402823;84.548
2710;0.000402874;84.5529
2711;0.000402914;84.5567
2712;0.000402938;84.559
2713;0.000402946;84.5598
2714;0.000402938;84.559
2715;0.000402914;84.5567
2716;0.000402874;84.5529
2717;0.000402823;84.548
2718;0.000402762;84.5422
2719;0.000402696;84.5358
2720;0.000402628;84.5294
2721;0.000402564;84.5235
2722;0.000402509;84.5187
2723;0.000402467;84.5156
2724;0.000402443;84.5149
2725;0.000402442;84.5175
2726;0.000402467;84.5241
2727;0.000402521;84.5353
2728;0.000402604;84.5515
2729;0.000402703;84.5699
2730;0.000402778;84.5836
2731;0.000402647;84.5568
2732;0.000402619;84.5552
2733;0.000402552;84.5462
2734;0.000402493;84.5388
2735;0.000402448;84.5339
2736;0.000402419;84.5309
2737;0.000402406;84.5297
2738;0.00040241;84.5299
