label;LE_max;S_max
31379;0.000370741;74.8307
31380;0.000877482;184.268
31381;0.00124607;274.428
31382;0.00283514;616.884
31383;0.000490756;98.5322
31384;0.00038772;74.7661
31385;0.00121334;252.643
31386;0.00106223;226.693
31387;0.00172279;367.151
31388;0.000714404;151.997
31389;0.00148828;319.126
31390;0.000528434;106.441
31391;0.00151711;330.509
31392;0.000493128;92.7822
31393;0.00222276;484.018
31394;0.00103563;215.576
31395;0.00118497;249.136
31396;0.00105171;224.961
31397;0.000624426;118.808
31398;0.00118359;248.431
31399;0.000955589;201.524
31400;0.00107882;225.11
31401;0.000969974;204.213
31402;0.00100583;217.972
31403;0.000277324;55.8255
31404;0.00204064;444.376
31405;0.000978633;202.819
31406;0.000933573;196.805
31407;0.000969532;204.002
31408;0.00101778;209.692
31409;0.000900844;190.01
31410;0.000925115;193.417
31411;0.0021991;473.205
31412;0.000897916;189.016
31413;0.000697167;124.454
31414;0.000875923;185.731
31415;0.000938776;200.615
31416;0.000359884;53.2446
31417;0.000780846;164.203
31418;0.000485579;85.9858
31419;0.000457738;80.103
31420;0.000906865;191.838
31421;0.00050817;79.5431
31422;0.000258005;22.1853
31423;0.00030594;32.5932
31424;0.00273817;591.393
31425;0.00108995;211.362
31426;0.0023488;516.169
31427;0.00289049;628.849
31428;0.00101084;193.288
31429;0.00248005;539.853
31430;0.00089197;189.281
31431;0.0012044;241.088
31432;0.00121631;244.845
31433;0.000978431;209.356
31434;0.00100888;195.741
31435;0.00131297;286.011
31436;0.00121356;242.026
31437;0.00102872;222.683
31438;0.00111941;234.51
31439;0.00246919;534.976
31440;0.00111215;233.48
31441;0.00239331;513.778
31442;0.00112305;235.693
31443;0.00113245;237.777
31444;0.00119446;265.259
31445;0.00183732;397.231
31446;0.00107366;225.037
31447;0.00169162;371.444
31448;0.00121913;272.858
31449;0.00153761;327.928
31450;0.00107779;225.969
31451;0.00112119;235.461
31452;0.0010183;209.007
31453;0.00102565;210.469
31454;0.0010191;206.838
31455;0.00132428;280.017
31456;0.000983222;202.36
31457;0.000522397;118.189
31458;0.00111609;219.712
31459;0.000500499;113.186
